ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
768
ITEM: BOX BOUNDS ss pp pp
-6.6502451872036172e-01 4.2278819267736196e+01
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
674 2.38279 0.850985 -0.578158
723 1.74948 0.18176 2.21185
726 -1.01208 0.825553 0.530952
739 1.07281 0.941466 -0.35656
740 0.268276 0.142858 -0.70462
741 0.727583 -0.828777 1.63984
742 0.314283 2.05839 -1.28562
738 -0.657084 -0.728369 -3.2424
722 0.881126 1.43832 -1.89531
4 -5.23199 -1.11718 0.975484
5 2.06245 3.01449 1.95762
1 -1.99508 2.76704 4.83851
51 -3.61277 -4.43019 -0.364947
52 -1.3719 0.225071 -0.721283
53 -0.298157 0.41898 -2.83338
54 0.107187 2.63446 -1.56681
117 -6.64581 1.10174 1.86944
113 1.51752 -2.61295 1.32259
115 -1.53184 0.339043 1.04458
116 -1.01718 -0.548218 -0.262112
118 -3.68838 -1.27909 -2.37932
179 4.01804 -0.219387 -2.56638
181 -3.68568 -1.55329 -0.638496
114 -0.442163 1.03756 0.124397
193 -0.794568 -0.908368 1.45014
132 1.53701 0.0376468 -3.10388
180 -2.9417 -1.42604 1.90091
182 -0.0629631 0.482767 -1.62244
243 -2.72901 -4.17306 -1.24705
245 -1.16613 1.55678 0.488627
178 -0.151405 0.494507 -1.15095
241 -3.2435 -3.60319 -2.61053
261 1.74794 -1.73964 -0.365391
244 -4.20546 -1.9858 0.710766
246 -0.229525 -5.19406 1.76754
307 0.396166 0.524037 2.7199
309 -3.62201 -1.05467 -1.20054
242 -2.84626 1.72893 -1.23492
305 -3.90327 1.56511 -1.343
321 -0.258544 5.86509 4.44418
308 1.69768 -0.281613 -0.720748
310 0.885517 0.0478375 -3.0813
325 -2.33396 -0.554704 -0.0277704
371 -1.18883 -0.942098 0.187161
373 -0.147274 1.12674 0.0381903
306 0.973194 0.0558099 -1.47907
324 1.0565 0.819946 1.37703
372 1.96901 -2.93253 -0.10672
374 -1.36638 0.731662 2.15178
435 -1.85999 1.65839 -2.44307
437 3.96627 1.56819 -2.41011
433 -0.203063 -0.307907 -1.73189
370 -0.421568 0.137324 -3.53603
388 2.1504 -2.83744 1.29389
436 0.292492 2.14265 1.19667
438 -0.0887499 -0.891112 -2.79014
499 0.777594 2.59991 -0.0973614
501 -0.0684126 -1.21054 -0.436839
434 0.0675777 4.28288 2.22478
500 0.157573 -0.267354 5.61235
502 -1.0663 -0.615589 -3.66854
563 -1.6196 0.522355 -2.43988
565 4.66745 -1.36499 -1.73518
516 1.63735 -2.14651 0.968802
564 -1.80397 0.363839 -3.36576
566 1.91214 0.102179 -1.36932
627 0.674052 2.60219 -1.19193
629 2.30107 0.834651 1.73779
562 3.04484 -5.81152 0.35369
628 0.615147 1.29615 -1.18798
630 2.54501 1.90847 1.78526
691 0.187047 -6.08594 1.31161
693 1.94518 -1.79747 3.82178
694 0.286094 -1.93058 -1.95946
692 -0.677537 0.480429 2.44795
708 4.37871 -0.500986 -0.0326618
755 -1.65104 -0.265277 1.89118
756 0.624052 0.507637 0.93304
757 0.553493 -1.55591 1.89452
758 -2.19079 -1.24191 0.966108
7 0.281192 -0.542348 -0.220622
10 0.00360918 -0.044382 -3.74542
11 -0.0397637 4.77899 0.718468
24 -0.54177 1.70064 2.24948
25 -2.3506 -0.609073 1.62204
28 1.04733 2.55542 -0.0561161
75 0.107194 0.326969 0.331011
89 -1.07804 0.651629 -1.44992
8 -1.71072 0.207132 -0.137861
9 -1.09341 -1.75063 4.88686
12 0.765272 -2.35567 -2.03294
71 0.0732773 -1.10389 -1.10802
74 -1.42552 0.247888 0.418382
88 4.8272 -1.19226 0.58711
92 -3.28119 0.209769 1.11387
135 -0.832614 0.674316 0.221839
