ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
768
ITEM: BOX BOUNDS ss pp pp
-6.6502451872036172e-01 4.2278819267736196e+01
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
314 1.62697 -0.951782 -3.02318
316 2.23181 -3.56326 -1.65805
375 -6.26504 0.82526 -0.0538847
377 -0.251838 3.69356 0.921466
379 0.501055 -1.51319 1.05395
328 -1.19184 0.125222 -0.498088
393 0.330468 -0.319007 -0.655508
376 -2.13409 -0.792916 0.745923
378 -0.772282 -3.05186 1.30612
380 -1.67326 -1.955 -1.90846
439 1.26865 0.8377 0.365756
441 0.979233 0.903016 1.51983
443 -2.3059 1.08489 -0.0617377
396 1.36505 2.12484 -0.00167052
440 -3.77794 3.03981 -1.59698
442 1.21526 1.24141 -3.08488
444 -0.4385 -2.16152 1.48785
503 2.76154 -0.414613 1.38407
505 2.84226 -1.47847 0.174975
507 2.87521 -0.149774 2.22402
456 0.229297 -1.58255 -3.2621
460 3.89301 -1.47753 0.343468
521 1.3645 -0.823273 -0.585158
504 0.150103 3.76432 -2.54299
506 1.06192 0.171955 -4.31889
508 0.594434 -3.22993 -0.82769
567 -0.0986633 -3.57649 -0.143249
569 -1.00272 0.127662 3.27582
571 -2.49781 1.246 1.00225
520 -2.55896 0.31588 0.502035
524 2.7798 1.90356 3.63186
585 -0.733027 -0.25838 0.776253
568 0.437645 -2.40848 -0.248061
570 -0.486802 -2.63544 -3.20553
572 1.06156 3.54357 -2.46331
631 -0.878913 -0.267482 -0.0100506
633 -1.1015 -0.113149 -0.443128
635 1.20707 0.79187 0.0266203
588 3.02239 -1.51503 0.529062
584 -0.546812 1.99941 -2.50416
632 1.10915 1.0329 1.66463
634 3.30139 0.206196 2.55371
636 -0.194357 -2.27729 2.14904
695 -2.04164 0.548346 -1.6782
697 -0.528469 -0.921462 3.08322
699 -0.290286 -0.509671 1.08064
698 1.21664 0.0996264 -1.35981
700 0.246903 0.474021 1.72285
652 6.9337 2.07087 1.34681
696 1.21747 1.13092 0.372575
759 -1.41256 5.1592 1.87328
760 0.291742 1.84954 0.304293
761 -1.02849 -0.617608 -1.1425
762 1.51435 0.342881 2.56386
763 2.87566 -0.557322 0.470333
764 0.512305 1.10704 -0.252356
2 -1.18987 -1.4778 -1.07651
14 -0.0924988 -1.64442 1.62591
15 1.96193 -1.74529 -2.16904
29 -0.902378 0.821939 4.26967
32 0.188709 5.30979 0.89808
16 0.0280264 3.12308 -2.15272
13 -0.0663019 0.378171 2.55599
66 -1.26506 -2.3321 0.556448
145 -0.256704 -0.0867564 -3.5947
79 -2.65957 -0.967653 0.644635
93 -5.08242 0.506423 0.0500585
78 -0.203189 3.68464 2.07375
96 -3.28467 1.31636 -0.527608
143 -1.87801 2.4232 -3.27851
157 -0.0685455 -1.53255 3.18765
141 -2.70424 -1.57723 3.93493
77 -0.074553 -1.02669 3.11935
130 3.66203 -1.14014 5.62572
209 -0.331795 0.791671 -1.06441
193 -0.347296 1.87097 2.90325
142 -0.210226 -0.927411 4.17882
160 -0.798119 -2.91799 -3.81944
207 2.96352 -1.59157 -0.474453
221 -1.42175 -1.24709 0.805073
194 3.98959 -5.03186 3.62237
206 0.169657 0.24122 -4.42659
224 2.53152 -2.49574 3.8394
271 -2.02962 -2.663 -0.100166
285 3.61555 0.277672 0.626919
270 -1.11265 -2.27272 -0.549929
288 0.548101 2.62663 -2.17415
335 2.34791 -1.8779 -1.70833
349 -0.964526 2.28577 0.887151
272 -0.299389 1.05833 0.600431
333 2.55531 2.029 -4.1363
334 -1.75505 -0.108296 1.86468
352 -1.64154 2.73744 0.594084
399 -2.94618 1.8705 0.532435
413 2.68885 2.11396 1.97397
397 -0.70667 0.0133255 0.358724
465 -0.978317 0.672265 -2.08129
398 2.70852 -2.14519 -2.2091
416 -1.969 3.27699 -3.54151
463 1.95798 1.7282 1.35065
477 0.546368 -2.1873 -0.0330338
400 -1.70869 -0.202403 -2.20384
529 -2.27975 1.12954 -3.12328
450 0.943598 4.60822 1.65617
462 -0.89775 2.60698 -0.954845
480 1.47432 -1.24897 0.940446
527 -2.90784 -2.2913 -0.0268779
541 1.70709 3.94331 0.618863
577 -0.994869 -2.64768 -0.0960467
526 2.3945 -3.57194 -0.0541759
544 1.15128 -1.73884 -0.785879
591 0.716714 -0.654701 -1.2186
605 0.613936 -0.824784 -0.756425
641 2.41989 0.0363047 -0.653969
590 -2.48573 5.681 2.46615
608 -1.81462 0.462829 -2.71799
655 0.535036 -0.234596 -3.17709
669 4.23219 -3.15565 3.92204
654 -0.58404 0.749584 -1.96389
653 -0.905907 -0.0663371 -0.0886923
592 1.75203 1.69574 -2.77776
706 -0.20084 1.92355 -1.33121
672 1.42343 -0.968595 0.0473656
718 -1.49924 1.72002 3.53617
719 2.39746 -1.03522 -3.83556
733 3.17259 -3.28343 -0.844968
736 0.332772 0.0847908 3.35501
656 -0.704804 -1.37605 1.79882
720 -0.989882 2.90083 2.08374
34 -2.83648 3.78308 -0.923448
33 -6.36677 -0.578202 0.756726
18 0.73675 1.60243 2.42499
30 -1.42137 0.631007 -1.51414
31 -1.84049 0.561044 2.11215
45 1.93178 0.358521 1.64172
46 -2.8292 0.214784 -0.832039
47 -1.02654 -0.953266 -0.713706
48 -1.26584 -2.62733 0.0717646
109 1.76242 -3.68729 1.71749
82 -2.94776 -1.90599 2.50698
161 -0.267849 -2.03888 -2.13966
95 -2.89035 0.960844 -0.925225
111 -1.85959 0.613496 -0.000151623
98 1.19025 1.41446 -1.10779
94 -1.41229 -1.15804 2.67086
110 -4.60395 0.0364924 4.01108
112 -1.61153 2.07111 -0.202227
159 1.80554 -1.74442 0.818773
173 -0.913783 -0.117762 1.13726
175 -0.114806 -0.783833 1.55489
146 -2.8244 -3.17727 0.315965
162 1.40994 -0.342861 2.89035
158 -0.443872 1.96528 -2.24304
174 0.571607 -0.230844 -0.670259
176 -2.53833 2.66045 -0.662917
223 -0.323748 1.84034 -1.91142
237 3.58302 -1.27767 2.6596
239 1.80672 0.927177 -1.28797
289 -2.03236 -0.0833916 -2.06292
222 1.26457 1.02632 -1.62407
238 -2.07639 2.5548 -1.27197
240 -0.592878 2.11582 -0.645934
287 -1.45661 1.90847 -2.75827
301 -1.59268 0.269899 -0.443741
303 -3.70207 1.33842 -0.283844
353 0.47838 -0.182845 -1.54629
274 -0.345056 -0.156056 0.618991
286 -1.79606 -2.14548 -2.15483
302 3.11169 -0.320646 -1.621
304 0.00744344 0.62391 3.99957
351 0.762513 -2.10019 0.639783
365 -1.70764 2.63656 3.28829
367 -0.66827 4.03354 0.453432
350 2.05159 -0.950543 1.73914
366 1.04949 -1.40528 1.85753
368 -2.49438 3.38723 0.820294
415 -2.3918 -1.17242 -0.635844
429 1.82604 0.567636 -2.85213
431 -1.81317 0.266973 -1.10004
402 -1.3955 0.356588 -0.331494
414 -1.88264 2.1936 0.831311
430 -1.93268 -1.53936 0.419767
432 -1.26362 -3.072 0.98968
481 1.7466 -0.0212491 1.01597
479 1.04907 1.94778 0.365242
493 0.319321 -3.37233 -4.33903
495 -3.90124 -0.288028 -1.93659
545 -0.873308 -0.768775 -0.471616
482 -2.34954 -1.98672 0.553243
466 0.335382 -0.854362 0.0192429
478 0.928731 2.20111 -1.37558
494 3.87757 2.24082 0.280546
496 1.00901 0.42727 -0.38397
543 -0.188937 0.143868 -4.24625
557 -2.23791 0.376588 -1.46542
559 -0.376292 -0.791986 -0.00451799
542 2.1187 -0.277943 -3.89995
558 0.87869 -1.63239 -4.56631
560 -1.00556 -2.11586 1.2798
607 1.12118 -3.06726 -0.163739
621 1.91593 0.221336 0.0233034
623 -0.412124 0.277391 1.61613
606 1.19152 -3.40997 0.325811
622 -0.885452 -2.73754 0.353112
624 0.390997 -1.41064 0.427651
671 3.5466 -0.983109 -2.2953
685 -1.04636 -0.453443 0.459722
687 -1.00225 0.441425 1.80463
670 2.19287 0.303531 -0.117675
722 1.97832 3.79109 -2.02284
686 -1.75967 -2.67671 -1.86591
688 0.110432 2.26165 -2.59696
737 -0.459725 -0.154093 0.292769
734 1.8881 0.590018 3.81331
735 1.45609 -1.03038 2.319
749 1.78704 0.497422 3.02625
750 0.443459 -1.1833 3.09188
751 1.53964 1.32738 -1.65842
752 1.27034 -2.62972 -0.063213
50 0.0623567 0.977056 -1.237
49 0.92621 -3.29544 -1.08463
65 -0.0305215 2.61007 0.219659
61 -1.25835 0.0834573 -1.71148
62 -2.1524 -1.7914 -0.762029
63 1.05554 -0.623766 0.55946
64 -3.23583 1.06086 -2.22752
129 -1.4774 -0.360148 3.85597
114 -3.12253 -4.03637 -2.28834
80 1.20094 1.13747 0.696928
127 -0.727062 1.14939 1.56153
125 -1.63172 1.64994 -0.436569
177 -2.5661 -1.67059 0.101006
126 -3.4063 1.18266 1.37916
128 -0.322565 -0.674753 -0.338017
189 -1.2409 0.213394 -0.456275
191 2.70519 -0.252023 1.12246
178 -5.27091 -4.12923 2.6471
144 -2.90504 1.57849 -1.89
205 -2.42961 2.73782 1.09924
190 0.938405 0.371213 -1.86628
192 -0.999036 -0.476543 2.24307
253 -2.32258 0.51331 0.573649
255 -4.62846 1.53479 -0.63679
305 0.621038 -1.08936 0.54413
269 -3.38166 1.68936 -2.27359
208 -0.199328 3.1792 -0.367504
254 -2.26291 1.49562 1.19871
256 -0.329058 -1.83812 2.27952
317 -0.590114 5.28137 1.72646
319 -1.68256 -0.729956 -1.09457
306 -1.31487 2.86586 3.09832
369 2.57646 -0.74625 1.16526
318 0.495773 2.22984 2.85746
320 1.48593 -2.69144 0.71767
381 -0.137848 1.97949 2.68571
383 -4.17848 -1.55979 -1.00795
336 -0.806114 2.94084 1.39251
382 0.7712 0.673391 3.3003
384 1.19679 1.83177 -0.73369
445 0.988887 0.215344 2.24897
447 0.698231 -1.46782 -2.26423
461 -3.3924 -0.0611837 -0.943019
446 -0.0519274 -0.871878 3.41787
448 1.32737 -3.26844 3.23058
509 2.44276 -2.47876 2.35683
511 1.99999 -2.10758 -1.44956
525 1.50238 -1.14243 1.20479
464 -0.305288 -0.413557 2.03671
510 -0.488546 -3.56542 1.04048
512 0.305478 -1.13369 -2.84953
573 1.33074 1.07326 1.21381
575 1.57086 -1.53176 0.663591
589 -0.218519 1.28572 -1.15536
625 -1.33735 1.25056 3.49687
528 1.39051 -1.06901 0.974515
574 1.87303 0.861501 -0.675797
576 1.54652 -2.32008 -1.27241
637 -0.533903 -0.151531 0.272095
639 -0.632357 1.32666 0.0853448
689 2.18387 0.706967 -1.13383
638 -2.85714 -2.94852 -1.18808
640 0.346722 1.33921 0.456243
701 -1.28358 0.921426 1.47558
703 -0.552686 -3.7071 -0.116545
702 0.706219 -0.653297 -0.767231
704 4.04267 2.9358 -3.30264
717 1.59538 -0.0185135 -0.068609
765 0.547656 0.608201 -0.256987
766 -0.405085 0.132844 -1.13401
767 0.127056 1.45348 2.69668
768 3.06773 0.326977 -3.04775
ITEM: TIMESTEP
300
ITEM: NUMBER OF ATOMS
768
ITEM: BOX BOUNDS ss pp pp
-1.0937166596469965e+00 4.2489947281888895e+01
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
3 0.235276 0.396871 -0.421786
6 -1.29676 2.2153 -4.24639
20 2.88011 -0.248667 0.119737
21 -1.26998 -2.15638 1.32678
69 2.89038 -1.44958 2.50526
1 -1.23342 -3.39 2.31095
17 1.05363 -1.56925 3.62227
85 2.3033 1.37693 3.43474
5 0.599579 -0.603805 2.39858
2 3.68939 -1.23134 1.60426
67 1.92477 -1.59734 -1.15626
70 2.60969 -0.326839 0.768846
84 3.15809 -2.54052 0.673807
149 1.62288 -0.59415 3.14477
131 -2.46457 0.373407 2.14011
81 2.77098 2.0391 0.0295993
133 -3.11482 -5.7011 -0.792507
68 -1.11912 0.773964 0.721733
66 0.0251494 0.763987 1.27623
145 3.57062 -3.38866 -2.97158
65 0.0837296 1.41863 -4.55342
134 0.314483 -0.0399651 -1.29581
148 -1.48106 -0.559702 -0.582317
195 -1.74469 0.876248 0.098886
213 0.587724 -2.18456 -2.20256
132 4.33873 2.52774 -2.64335
130 0.0545424 -0.316567 0.780455
209 0.893568 1.01488 -3.71079
193 1.51558 0.139019 -1.83518
198 2.26155 -3.40897 3.1312
212 -1.29539 -1.45132 -4.35919
259 1.25837 1.27705 1.7167
277 -0.314087 2.75737 0.915051
273 1.90681 -0.750708 1.8534
257 -2.25148 0.571601 0.359857
194 1.41195 -0.67583 5.00397
262 0.294993 -1.75047 0.0109312
276 1.13251 -2.79966 0.187288
323 -0.505566 1.21897 -2.26818
341 -2.37425 -2.4899 -1.33953
260 -4.10011 1.25435 -0.210423
321 -2.43948 -4.9185 0.197401
326 -2.64832 2.10069 -0.611677
340 2.01083 0.639358 0.866577
387 0.171066 0.0252834 0.128486
405 -1.01272 0.569334 1.57353
322 1.26303 1.88155 0.196958
389 -3.33647 0.084877 2.86208
324 -1.09519 -3.22425 1.28248
390 -2.98188 -0.125249 1.4315
404 1.1063 0.132534 0.395393
451 1.47607 -1.676 -0.225746
469 -6.0731 -0.111327 1.21453
388 0.0578343 -1.76233 0.233897
454 0.175704 1.23616 -2.30429
468 -1.64188 -3.28198 -1.90301
515 1.58969 2.30367 -0.284665
533 -3.02137 -4.07952 -0.117002
517 1.09153 1.72007 -0.406983
529 -3.13476 0.956087 -3.15507
450 2.88304 1.97538 0.0891421
518 2.95035 -0.994227 1.41119
532 -1.19405 -0.787757 0.179648
579 -0.873603 0.739099 -2.11629
597 -4.37526 1.289 2.72574
582 1.2594 1.6816 -1.3079
596 2.2538 3.67574 -2.68434
643 -1.14502 -1.36136 2.39536
661 -1.92494 0.641562 -1.90784
578 -0.00360328 -1.56331 -2.19544
657 -0.495165 0.485289 -2.13211
646 0.874991 2.49874 -0.0840883
660 -0.123552 2.25756 0.542904
707 -1.7515 0.191213 1.30633
710 1.17621 1.09829 -1.43483
724 0.0557135 1.53335 -1.06735
725 1.22769 -1.35031 3.83068
706 -1.92459 2.97981 -0.223517
19 -1.7491 2.58098 0.696956
22 3.24628 -4.02876 1.51505
35 -0.90434 0.850551 -0.181373
36 3.53359 -2.04222 -0.716894
37 3.63657 -1.27344 -2.35436
38 -0.53184 0.306945 -0.0484657
99 0.0526308 3.0338 -3.14592
101 -0.132403 -0.437447 -2.10979
97 2.88003 -1.26703 -0.141517
34 0.731656 -2.66296 0.485144
33 -1.26613 -2.67574 -3.56787
18 0.739421 3.79414 -0.4755
83 1.38224 0.108504 2.6896
86 -0.0762149 1.69538 -0.663966
100 -0.222556 -0.989349 -1.52013
102 0.147149 -0.862169 -1.33878
147 -0.35364 3.65489 3.08716
163 -1.684 0.202117 -2.2019
165 0.224343 1.55725 -2.59481
150 0.632507 -1.43285 -5.4174
164 -0.899071 0.982779 -3.5231
166 0.847015 -0.140383 -0.803645
211 -1.45542 2.5535 -2.37646
227 3.83106 2.29406 0.685184
229 4.35016 -1.77071 4.87502
225 2.1818 -1.75135 0.34738
146 0.7482 -0.605625 2.6308
162 -0.534924 0.0838157 3.78169
214 5.96878 0.144104 0.441057
228 1.55083 -1.2508 2.04267
230 -1.28999 1.67901 0.0400126
275 -2.04121 1.67522 3.30038
291 1.68331 -2.47828 -2.3397
293 -0.927955 -0.338226 0.330658
226 1.61806 -2.13075 1.31765
289 0.126686 -0.453933 1.98262
278 1.91816 0.777965 2.71152
292 -1.06282 4.43892 -2.41249
294 0.235591 2.86695 2.02791
339 -0.327813 -4.02253 2.9585
355 -1.67443 -1.7169 2.21257
357 1.368 -3.19799 -0.844161
290 -0.0106608 0.55393 -1.91644
274 3.24435 2.08669 1.29921
342 -0.00581425 0.126331 -2.40658
356 0.630111 2.77841 0.463643
358 -2.02223 0.935841 -1.66095
403 -1.92797 1.23141 0.436065
419 -1.71995 -1.10739 -3.90244
421 -1.93982 -0.000576097 3.71477
417 1.09598 3.30909 2.67474
338 -3.7071 -2.05359 -0.0783376
406 0.20669 -3.30986 -2.09937
420 0.758152 -1.98162 -2.62484
422 0.684176 0.866247 -0.731627
467 1.50261 2.4116 -3.50356
483 5.12694 0.0696798 1.32922
485 0.617868 3.58223 2.36752
418 -0.797101 -0.597257 -1.31628
470 2.94662 -1.07193 -0.467268
484 0.511872 -0.796597 2.23294
486 -1.99895 -0.472994 0.775015
531 0.20975 -2.95747 -0.230357
547 -2.03679 1.09785 -4.14888
549 0.127575 1.90548 1.71985
466 0.974254 -0.157724 0.303395
534 -0.195695 -0.716818 0.66719
548 -2.31074 1.75584 -2.36831
550 0.539875 3.13581 1.00299
595 -4.38151 0.483542 -0.986071
611 -3.42153 0.510903 -0.187683
613 -2.14514 0.836951 -0.34856
609 3.61879 0.18259 -0.722855
612 0.285623 0.645126 -2.8566
598 -1.17373 2.79202 -1.69624
614 -0.0440854 -0.991314 -2.42999
659 -0.842152 -0.905782 0.537102
675 0.707036 -0.145827 -5.81547
677 -1.14505 1.47881 -0.471606
662 -0.750809 0.495199 -0.933508
676 1.07881 0.748462 -0.906501
678 -3.12467 0.367126 -1.38434
723 -0.708017 -0.275174 -2.34418
726 -0.925323 0.542769 1.65075
739 -2.75296 -1.61081 2.35953
740 -2.5859 -0.190041 0.953757
741 -0.948512 0.00230015 0.094795
742 1.42654 -1.12469 0.0771287
738 -0.931022 -0.926458 -0.646567
658 -2.00718 0.264697 -0.115462
722 1.31125 -0.804987 -0.865515
737 -0.313269 0.202358 0.395979
4 -0.0188141 -0.800033 -1.22695
51 2.32614 -1.86278 1.55337
52 -0.485161 1.3722 -1.32564
53 3.10656 -1.36345 4.68122
54 7.50414 -0.541032 -0.408957
117 -2.83838 -1.06446 4.39913
50 3.69894 -3.5708 -1.02609
49 -0.113614 -0.294772 1.35656
115 2.15922 0.787072 2.25947
116 2.01743 1.13 -0.726737
118 0.0581579 -0.404423 1.3462
179 -4.17321 0.804286 -0.242323
181 4.13133 -0.571907 1.14173
114 -5.01373 -0.378412 2.56943
197 -2.3643 2.85414 0.78936
180 1.34672 3.78199 -0.834127
182 -2.36295 0.639242 1.01919
243 2.2428 -2.57237 0.904152
245 -1.12376 -0.405034 1.22531
241 1.01428 -4.43842 -1.84586
196 -0.669918 0.785616 -3.11109
261 -2.60193 -0.604273 -2.39389
244 0.161187 1.71547 3.86512
246 -0.0558526 0.45693 -1.56982
307 -2.53715 -0.127835 -1.90784
309 2.40835 0.471878 0.387332
325 1.463 4.56752 -0.023535
308 2.98311 1.67364 -0.807768
310 0.748183 -1.36171 0.286129
371 -0.721113 1.45913 2.36802
373 2.32665 -0.226017 -1.36375
385 0.67951 -0.253536 1.27821
372 0.520367 -1.3152 0.218996
374 -1.0107 0.270539 -0.463674
435 0.872415 -1.63346 2.02379
437 0.744948 -0.329602 -2.64634
370 1.96477 1.00524 -2.94831
453 -0.837538 0.928158 0.80945
449 -4.36973 -2.14371 0.953136
436 -2.04268 0.38126 -0.00759743
438 0.620741 0.236413 -2.7273
499 1.2526 1.50279 2.91544
501 -1.4719 0.485602 1.18217
434 -0.422902 2.04116 3.18766
497 4.40611 2.08339 -2.11834
452 0.49475 -2.43675 0.731029
500 -0.766637 2.72304 1.40099
502 1.571 1.73011 1.09649
563 0.892105 1.30717 3.51711
565 -2.52756 -0.604881 0.0836634
516 -1.59373 -1.64301 -2.65847
581 1.52543 0.501275 -1.51879
564 1.68832 0.425904 -0.484444
566 -0.687518 0.519095 -0.340601
627 -2.29744 0.310295 -0.33318
629 0.0402409 2.025 -2.50697
645 -0.16461 0.818957 -0.0693556
580 -1.906 -2.62716 -3.79367
628 0.614047 -0.878806 3.32047
630 3.52439 2.59578 1.49278
691 -1.5865 -0.000124004 -0.985589
693 1.07799 -0.162559 -2.99574
694 1.16701 0.698625 -1.46206
644 0.579535 1.8581 -1.6154
709 1.57956 -0.17629 2.61395
692 -2.53862 -3.18259 1.56743
708 -1.58374 -0.737471 2.32487
755 -3.90968 2.9786 -1.91648
756 -0.354925 4.60838 0.856265
757 -2.37766 -3.44572 1.19901
758 1.3726 -1.20725 -1.88547
690 0.557553 2.01743 -2.26325
754 0.268302 0.996968 -0.466475
7 1.66327 0.108567 0.247309
10 0.297455 0.387337 -0.621234
11 0.584904 -3.60905 -0.949601
24 -0.802606 -2.74375 2.16268
25 2.05693 -0.959254 0.873135
28 1.5326 4.93773 2.85708
75 -2.44596 -4.17532 -2.26183
89 0.772034 2.11849 0.314628
73 2.95135 4.35602 -3.18815
71 0.581625 2.7294 1.57047
8 -5.16341 0.419893 -1.84924
74 1.72824 -1.32835 0.342803
88 3.02281 0.466632 0.932751
92 3.07079 -1.21177 -2.37696
135 1.85566 -1.10298 -1.99931
139 -0.0540021 2.13883 0.281761
153 1.54473 -0.165183 -1.31863
76 2.15735 -0.314228 -2.12808
137 -2.02668 -1.15044 -0.00449933
138 0.311286 3.16114 -1.42361
152 -1.36714 -0.767652 2.37218
156 -1.21972 -2.63012 -0.614282
199 0.767462 4.00208 -0.463379
203 -1.7844 -1.62739 -2.7035
217 0.458353 2.20005 -1.22183
201 2.05916 -1.38032 -3.75715
202 0.319002 3.45403 -0.722721
216 -1.63985 1.42724 -2.02505
220 0.793557 -2.36272 -1.17763
263 -0.0232596 0.421227 0.185875
267 -1.62267 -0.681537 -1.3412
281 3.45166 3.0881 -2.09349
200 2.63372 -0.735495 2.06984
204 1.2451 -1.67309 -0.668602
266 0.452304 -3.2449 3.86954
280 2.16928 2.79068 -0.882869
284 0.979414 0.0502991 -0.0688711
327 -0.455908 1.20702 2.67042
331 2.49625 -1.24068 1.59254
345 -1.48698 -0.704819 -0.159265
329 -2.1705 -0.441577 -0.558087
330 2.57275 1.24913 0.275467
344 0.258664 -2.11599 -0.160228
348 0.544251 -1.12202 1.8337
391 -1.21516 -2.23027 -3.65103
395 1.97484 -0.362557 2.92011
409 1.06307 -4.07122 3.75289
332 1.24556 -3.8113 -0.221212
328 -1.97265 0.299164 -3.28022
393 0.320168 -1.1042 3.41067
394 0.372061 -1.38283 -2.36613
408 -1.19136 1.24108 -0.614717
412 -1.65982 1.54785 -0.951048
455 -0.652731 0.493253 3.26546
459 3.72041 1.47594 -3.29522
473 -2.46233 1.18342 -1.30875
457 -1.26395 -1.81133 1.22576
392 -1.46957 -2.04254 -1.72029
458 3.90177 1.38366 0.834007
472 -1.93942 1.02904 -5.58072
476 0.571432 0.998759 0.865778
519 -3.73392 0.122647 -1.8055
523 0.663224 1.83454 -1.28354
537 -0.432164 -2.76875 -2.28665
460 -1.63639 2.68553 0.341637
522 -1.73943 0.99599 -2.22697
536 -3.12664 1.73203 1.52057
540 0.217325 0.395735 -1.06209
583 0.431015 3.09114 0.726358
587 0.179432 -0.806871 -1.02965
601 -2.91442 -1.14339 -2.38072
586 -1.10857 2.14674 0.40448
600 0.457314 -0.134827 1.01226
604 1.58977 1.41857 -2.53608
647 -1.30919 -0.415508 0.974416
651 -0.347523 0.931162 0.831761
665 -0.947591 0.424846 1.75836
588 1.76068 2.29063 0.938774
664 1.63305 -1.91963 0.266765
650 -1.77656 0.227394 -1.96405
668 -2.66004 -1.41192 -0.315706
711 -0.671463 -0.974469 -1.29009
714 -0.821435 3.01201 3.44635
715 1.15555 -0.117119 -0.65209
728 -1.97278 -0.544812 -0.0246052
729 -1.48781 -0.879938 2.21616
732 1.55953 2.31376 -0.0599113
713 -0.678164 -0.608338 0.636878
716 -0.849944 0.755152 4.15597
652 2.73888 -0.518635 0.0960813
23 0.305027 -5.02065 -0.2008
26 -1.30044 -0.111438 1.8802
27 0.237881 3.45058 -0.0239272
39 0.242995 -0.993416 0.400674
40 -0.137321 0.368201 -0.238511
41 -2.33974 -2.89351 0.727221
42 -3.01195 3.45215 -2.60252
43 -0.218204 -1.61742 2.78828
44 1.93651 -0.302072 4.15708
107 -1.18713 1.88345 2.16687
91 -1.43727 -1.67095 2.69556
103 -0.768954 1.84739 1.44788
87 -1.59608 0.271525 -1.00337
105 1.6519 -0.875328 2.94045
90 1.85972 -1.10615 -0.869337
104 2.87121 -3.43985 2.54578
106 -1.71219 -1.18406 -0.302953
108 -1.04422 2.23372 -0.528212
151 0.108219 -1.21605 -1.26666
155 -0.949851 3.26304 2.99596
167 0.0118123 0.694227 -1.01067
169 0.699971 -0.98976 -3.26626
171 -0.139686 -2.00037 1.26051
154 -2.74886 1.05003 2.66185
168 -1.61553 -1.56077 1.36161
170 0.925242 -0.286261 0.00445499
172 2.15096 2.76586 -2.13123
215 1.60896 -1.31013 -1.12739
219 -1.5 0.531657 -2.51612
231 -0.987838 0.044496 -2.36218
233 -0.221232 -0.313491 -5.26677
235 -0.124129 -1.03965 3.09099
218 -2.72495 1.13674 -0.917146
232 0.842673 -2.09991 0.373103
234 -0.710025 1.13402 0.486497
236 2.46876 2.16546 -1.42553
279 -0.371709 -3.54839 -1.33402
283 1.00927 -0.726837 -3.15814
295 0.805739 -3.9514 0.224714
297 0.547558 -2.96607 -0.941445
299 0.713715 -0.00553761 -0.0577545
282 4.10996 -1.21504 1.08626
296 2.95876 -1.54865 0.718016
298 -1.4652 2.90603 -0.654472
300 -1.8334 4.62772 -0.675589
343 -0.704184 0.81734 0.543363
347 2.26226 -0.917735 2.94928
359 0.85469 2.57195 -0.940103
361 -1.93147 2.99974 -3.10679
363 3.97634 1.67432 -1.97809
346 2.72079 -2.32377 1.47835
360 -3.0534 3.57027 1.21255
362 -2.0693 2.90477 -3.59954
364 2.19876 2.15118 -0.122665
407 4.16645 0.837024 0.209489
411 -2.1099 -1.97325 -2.19163
423 1.76302 0.400582 1.91566
425 -0.534112 -0.682357 -0.961699
427 0.0394712 -1.02898 -0.175981
410 0.0114586 0.983293 -0.316879
424 -1.47046 -0.446239 2.2683
426 -0.679673 -1.41986 -1.74131
428 2.43931 -0.764004 2.4664
471 0.83529 1.0652 -1.38173
475 -0.975552 1.78854 -6.48417
487 -3.06825 2.30799 0.381674
489 -1.48407 -1.2162 0.0441931
491 -0.0344909 -1.48886 -0.300758
474 -1.77223 2.01144 2.22635
488 1.37973 -2.44332 -1.31941
490 -1.35116 -0.288377 2.05409
492 1.28653 1.51404 2.79277
535 0.881899 -1.29878 -1.65716
539 0.977672 0.315202 2.34762
551 3.01326 -1.0016 0.790665
553 -0.713432 -2.29625 0.432583
555 3.07885 -1.08861 -1.89247
538 0.0210992 -0.420681 1.46582
552 0.442013 -2.96159 -0.695864
554 0.361454 -2.30612 -0.314425
556 -1.44505 -4.8385 -1.73632
599 0.60924 3.10503 1.98084
603 -1.18096 1.17672 -0.452416
615 -1.16582 0.619295 -2.08951
617 0.479995 -1.21059 -1.92463
619 3.30813 -0.734724 -0.623087
602 -3.53256 1.05555 4.06728
616 -3.4256 -2.0935 1.61938
618 -0.158089 -0.28112 -1.05809
620 -3.4901 1.22807 0.903011
663 3.12863 3.44881 -1.82249
667 0.441771 2.56374 0.150501
679 2.43569 0.214987 1.37573
681 1.3715 -1.85045 1.41102
683 2.95398 -0.320845 0.110341
680 -1.26857 -0.815017 -1.39875
684 3.37296 1.37116 -0.3471
666 -0.421656 -0.0170995 -0.941216
682 2.63678 3.98523 -2.84443
727 0.456731 0.758017 -0.449171
730 2.98996 -1.02053 0.785684
731 0.620302 -2.14947 -1.95221
743 0.932544 0.684197 -2.38094
744 -0.549363 1.83948 1.08592
745 -0.690344 0.453699 -1.95168
746 0.423315 0.853382 1.3164
747 -1.93055 -1.62317 0.592061
748 0.146016 -0.443887 0.441149
9 -1.82773 -1.144 0.0843711
12 4.148 1.12992 -2.00723
55 -2.89354 -4.41663 2.21648
56 -1.87804 -1.3235 -1.42851
57 -3.12162 -0.406389 2.86189
